paper_id,cutoffs_before_arxiv,cutoffs_before_commit,pct_llms_with_knowledge,pct_llms_before_implementation
advantage-alignment,33,33,100.0,100.0
Diff-Transformer,33,30,100.0,90.9
DiffusionDPO,18,22,54.5,66.7
DyT,33,33,100.0,100.0
eomt,33,33,100.0,100.0
fractalgen,33,33,100.0,100.0
GMFlow,33,33,100.0,100.0
GPS,33,33,100.0,100.0
grid-cell-conformal-isometry,33,33,100.0,100.0
hyla,22,27,66.7,81.8
LEN,30,32,90.9,97.0
llm-sci-use,22,26,66.7,78.8
minp,33,27,100.0,81.8
OptimalSteps,33,33,100.0,100.0
REPA-E,33,33,100.0,100.0
schedule_free,30,22,90.9,66.7
semanticist,33,33,100.0,100.0
SISS,33,33,100.0,100.0
TabDiff,33,33,100.0,100.0
Tanh-Init,33,33,100.0,100.0
